ID,Author,Title,Journal,Volume,Issue,Year,DOI,ISSN,Abstract
Papakostas2021,Christos Papakostas and Christos Troussas and Akrivi Krouska and Cleo Sgouropoulou,Exploration of Augmented Reality in Spatial Abilities Training: A Systematic Literature Review for the Last Decade,Informatics in Education,20,1,2021,10.15388/infedu.2021.06,16485831,"This review paper presents a systematic literature review on the use of Augmented Reality (AR) in engineering education, and specifically in student’s spatial ability training, for the last decade. Researchers have explored the benefits of AR, and its application has been of increasing interest in all levels of education. Engineering students tend to have difficulties in acquiring visualization skills, and hence, AR is gaining momentum in enhancing students’ learning achievements. This paper aims to present valuable information to researchers, tutors and software developers of learning technology systems concerning the advantages and limitations of AR in spatial ability training, the incorporation of adaptivity and personalization in AR applications as well as the aspects of spatial ability having been evaluated using AR and the prevalent evaluation methods for AR applications. To this direction, a total of thirty-two (32) studies were reviewed, having been published since 2010. The findings reveal an increase in the number of studies during the last three years. One major conclusion is the improvement of learners’ spatial ability using AR in educational settings, and the noted challenge is the need for more learning content. One research gap that has been identified is the lack of personalization in the developed applications, offering space for future research. Concluding, this area is under-researched, and thus, there is scope for a lot of improvement."
Nisar2022,Kottakkaran Sooppy Nisar and Lanre Akinyemi and Mustafa Inc and Mehmet Şenol and Mohammad Mirzazadeh and Alphonse Houwe and Souleymanou Abbagari and Hadi Rezazadeh,New perturbed conformable Boussinesq-like equation: Soliton and other solutions,Results in Physics,33,,2022,10.1016/j.rinp.2022.105200,22113797,"In recent years, finding exact solutions to nonlinear differential equations has become a fascinating study topic. In the present study, using the modified Kudryashov method and the improved generalized Riccati equation mapping method in the conformable sense, we acquired the exact soliton-type solutions for the new time-fractional perturbed Boussinesq-like equation. This equation has been successfully obtained by the use of asymptotic methods on the defocusing Camassa–Holm nonlinear Schrödinger equation. We obtain the exponential, trigonometric, hyperbolic, and rational type solutions comprising dark solitons, kink solitons, bisymmetry solitons, singular solitons, combined complex solitons, and periodic solutions. These solutions are of great importance in various fields of applied sciences, coastal, and ocean engineering. Furthermore, all acquired solutions have been validated by putting them back into the original equation with the help of the Mathematica package software."
Hijji2021,Mohammad Hijji and Gulzar Alam,A Multivocal Literature Review on Growing Social Engineering Based Cyber-Attacks/Threats during the COVID-19 Pandemic: Challenges and Prospective Solutions,IEEE Access,9,,2021,10.1109/ACCESS.2020.3048839,21693536,"The novel coronavirus (COVID-19) pandemic has caused a considerable and long-lasting social and economic impact on the world. Along with other potential challenges across different domains, it has brought numerous cybersecurity challenges that must be tackled timely to protect victims and critical infrastructure. Social engineering-based cyber-attacks/threats are one of the major methods for creating turmoil, especially by targeting critical infrastructure, such as hospitals and healthcare services. Social engineering-based cyber-attacks are based on the use of psychological and systematic techniques to manipulate the target. The objective of this research study is to explore the state-of-the-art and state-of-the-practice social engineering-based techniques, attack methods, and platforms used for conducting such cybersecurity attacks and threats. We undertake a systematically directed Multivocal Literature Review (MLR) related to the recent upsurge in social engineering-based cyber-attacks/threats since the emergence of the COVID-19 pandemic. A total of 52 primary studies were selected from both formal and grey literature based on the established quality assessment criteria. As an outcome of this research study; we discovered that the major social engineering-based techniques used during the COVID-19 pandemic are phishing, scamming, spamming, smishing, and vishing, in combination with the most used socio-technical method: fake emails, websites, and mobile apps used as weapon platforms for conducting successful cyber-attacks. Three types of malicious software were frequently used for system and resource exploitation are; ransomware, trojans, and bots. We also emphasized the economic impact of cyber-attacks performed on different organizations and critical infrastructure in which hospitals and healthcare were on the top targeted infrastructures during the COVID-19 pandemic. Lastly, we identified the open challenges, general recommendations, and prospective solutions for future work from the researcher and practitioner communities by using the latest technology, such as artificial intelligence, blockchain, and big data analytics."
Biancardo2020,Salvatore Antonio Biancardo and Alessandra Capano and Sara Guerra de Oliveira and Andrej Tibaut,Integration of BIM and procedural modeling tools for road design,Infrastructures,5,4,2020,10.3390/infrastructures5040037,24123811,"Building Information Modeling (BIM) is a design and management methodology strongly used in the Industry of Architecture, Engineering, and Construction (AEC). It allows the creation of a 3D model through parametric modelling in a workflow that updates data, geometry and semantics using the Industry Foundation Classes (IFC) standard. The purpose of this paper is to develop and apply a BIM method for road infrastructures. The creation of the BIM 3D models was carried out using different visual programming software and BIM tools, designing the spatial and parametric representation of the roadway. This way, it has been possible to discover the advantages of using procedural modelling to design road infrastructure through software that are usually used in the mechanical and architectural field. Finally, the interoperability of the software to extract and exchange information between these BIM tools was assessed."
Arif2021,Muhammad Arif and Poom Kumam and Dolat Khan and Wiboonsak Watthayu,Thermal performance of GO-MoS2/ engine oil as Maxwell hybrid nanofluid flow with heat transfer in oscillating vertical cylinder,Case Studies in Thermal Engineering,27,,2021,10.1016/j.csite.2021.101290,2214157X,"Engine oil (EO) is used as a lubricant in the engines of different machineries. The basic need of all phenomena is the rate of heat transfer. To enhance the rate of heat transfer and to save the energy wasted due to high temperature. For this reason in the present study we have taken engine oil as base fluid and molybdenum disulphide and graphene oxide (MoS2 + GO) hybrid nano-composites are suspended in the (EO). Furthermore, the nonlinear nature of viscoelastic non-Newtonian fluids, introduce a unique challenge to physicists and mathematicians. In the past three decades, viscoelastic fluid models are focused to improve its accuracy and reliability. In this article, viscoelastic Maxwell (MoS2 + GO) hybrid nanofluid (MHNF) is considered in oscillating cylindrical tube together with heat transfer. Exact solutions are obtained by using the joint applications of the Laplace and Hankel transforms and the obtained results are portrayed through different figures. All the figures of the given flow model are constructed for unitary nanofluid (MoS2 + EO) as well as hybrid nanofluid (GO + MoS2 + EO). Effects of flow parameters on Maxwell fluid velocity have shown through graph using computational software MATHCAD. From the present study, we have concluded that hybrid nanofluid gives us more satisfactory results than unitary nanofluid. During this analysis we found that the Maxwell hybrid nanofluid (GO + MoS2 + EO) enhance the rate of heat transfer up to 23.17 %. Furthermore, it is worth noting that engine oil has many engineering and industrial applications. Keeping this fact in mind the present study will help to enhance the rate of heat transfer due to which working machines will do better performance and the loss of useful energy will be reduced. Finally, we have present a limiting case by putting Maxwell fluid parameter (λ = 0) our solutions reduced to well-known published results which validate our work."
PavanKalyan2022,Bg Pavan Kalyan and Lalit Kumar,"3D Printing: Applications in Tissue Engineering, Medical Devices, and Drug Delivery",AAPS PharmSciTech,23,4,2022,10.1208/s12249-022-02242-8,15309932,"The gemstone of 3-dimensional (3D) printing shines up from the pyramid of additive manufacturing. Three-dimensional bioprinting technology has been predicted to be a game-changing breakthrough in the pharmaceutical industry since the last decade. It is fast evolving and finds its seats in a variety of domains, including aviation, defense, automobiles, replacement components, architecture, movies, musical instruments, forensic, dentistry, audiology, prosthetics, surgery, food, and fashion industry. In recent years, this miraculous manufacturing technology has become increasingly relevant for pharmaceutical purposes. Computer-aided drug (CAD) model will be developed by computer software and fed into bioprinters. Based on material inputs, the printers will recognize and produce the model scaffold. Techniques including stereolithography, selective laser sintering, selective laser melting, material extrusion, material jetting, inkjet-based, fused deposition modelling, binder deposition, and bioprinting expedite the printing process. Distinct advantages are rapid prototyping, flexible design, print on demand, light and strong parts, fast and cost-effective, and environment friendly. The present review gives a brief description of the conceptional 3-dimensional printing, followed by various techniques involved. A short note was explained about the fabricating materials in the pharmaceutical sector. The beam of light is thrown on the various applications in the pharma and medical arena."
Ma2021,Dan Ma and Baoyi Guan and Luxia Song and Qiyu Liu and Yixuan Fan and Lin Zhao and Tongxin Wang and Zihao Zhang and Zhuye Gao and Siming Li and Hao Xu,A Bibliometric Analysis of Exosomes in Cardiovascular Diseases From 2001 to 2021,Frontiers in Cardiovascular Medicine,8,,2021,10.3389/fcvm.2021.734514,2297055X,"Background: Exosomes in cardiovascular diseases (CVDs) have become an active research field with substantial value and potential. Nevertheless, there are few bibliometric studies in this field. We aimed to visualize the research hotspots and trends of exosomes in CVDs using a bibliometric analysis to help understand the future development of basic and clinical research. Methods: The articles and reviews regarding exosomes in the CVDs were culled from the Web of Science Core Collection, and knowledge maps were generated using CiteSpace and VOSviewer software. Results: A total of 1,039 articles were included. The number of exosome articles in the CVDs increased yearly. These publications came from 60 countries/regions, led by the US and China. The primary research institutions were Shanghai Jiao Tong University and Nanjing Medical University. Circulation Research was the journal and co-cited journal with the most studies. We identified 473 authors among which Lucio Barile had the most significant number of articles and Thery C was co-cited most often. After analysis, the most common keywords are myocardium infarction, microRNA and mesenchymal stem cells. Ischemic heart disease, pathogenesis, regeneration, stem cells, targeted therapy, biomarkers, cardiac protection, and others are current and developing areas of study. Conclusion: We identified the research hotspots and trends of exosomes in CVDs using bibliometric and visual methods. Research on exosomes is flourishing in the cardiovascular medicine. Regenerative medicine, exosome engineering, delivery vehicles, and biomarkers will likely become the focus of future research."
Wu2022,Chao Wu and Yongbo Yuan and Yang Tang and Boquan Tian,"Application of terrestrial laser scanning (Tls) in the architecture, engineering and construction (aec) industry",Sensors,22,1,2022,10.3390/s22010265,14248220,"As a revolutionary technology, terrestrial laser scanning (TLS) is attracting increasing interest in the fields of architecture, engineering and construction (AEC), with outstanding advantages, such as highly automated, non‐contact operation and efficient large‐scale sampling capability. TLS has extended a new approach to capturing extremely comprehensive data of the construction environment, providing detailed information for further analysis. This paper presents a systematic review based on scientometric and qualitative analysis to summarize the progress and the current status of the topic and to point out promising research efforts. To begin with, a brief understanding of TLS is provided. Following the selection of relevant papers through a literature search, a scientometric analysis of papers is carried out. Then, major applications are categorized and presented, including (1) 3D model reconstruction, (2) object recognition, (3) deformation measurement, (4) quality assessment, and (5) progress tracking. For widespread adoption and effective use of TLS, essential problems impacting working effects in application are summarized as follows: workflow, data quality, scan planning, and data processing. Finally, future research directions are suggested, including: (1) cost control of hardware and software, (2) improvement of data processing capability, (3) automatic scan planning, (4) integration of digital technologies, (5) adoption of artificial intelligence."
Cheng2020,Baoquan Cheng and Jingwei Li and Vivian W.Y. Tam and Ming Yang and Dong Chen,A BIM-LCA approach for estimating the greenhouse gas emissions of large-scale public buildings: A case study,Sustainability (Switzerland),12,2,2020,10.3390/su12020685,20711050,"Exiting green building assessment standards sometimes cannot work well for large-scale public buildings due to insufficient attention to the operation and maintenance stage. This paper combines the theory of life cycle assessment (LCA) and building information modeling (BIM) technology, thereby proposing a green building assessment method by calculating the greenhouse gas emissions (GGE) of buildings from cradle to grave. Life cycle GGE (LCGGE) can be divided into three parts, including the materialization stage, the operation and maintenance stage, and the demolition stage. Two pieces of BIM software (Revit and Designbuilder) are applied in this study. A museum in Guangdong, China, with a hot summer and warm winter is selected for a case study. The results show that BIM can provide a rich source of needed engineering information for LCA. In addition, the operation and maintenance stage plays the most important role in the GGE reduction of a building throughout the whole life cycle. This research contributes to the knowledge body concerning green buildings and sustainable construction. It helps to achieve the reduction of GGE over the whole life cycle of a building. This is pertinent to contractors, homebuyers, and governments who are constantly seeking ways to achieve a low-carbon economy."
Safikhani2022,Saeed Safikhani and Stephan Keller and Gerald Schweiger and Johanna Pirker,"Immersive virtual reality for extending the potential of building information modeling in architecture, engineering, and construction sector: systematic review",International Journal of Digital Earth,15,1,2022,10.1080/17538947.2022.2038291,17538955,"The field of architecture, engineering, and construction (AEC) is continually striving to use resources efficiently and manage complex processes. Now more than ever, there is a strong need for digital transformation in AEC. The improvement in the accessibility of consumer-based head-mounted displays (HMD) is attracting different entertainment and research fields to immersive virtual reality (VR) applications. Building Information Modeling (BIM) is known as a promising technology in AEC. The full potential of BIM is not yet employed to empower this field, however, and this could be a result of some barriers still to be surmounted by BIM in both technological and management perspectives. One of these barriers is the communication and collaboration between design, construction, operation, and maintenance phases. VR can fill this gap by providing additional capabilities for BIM which either were not available before or were not possible to employ in practical ways. In this paper, we systematically review recent research around the application of VR in BIM and discuss the results using the PRISMA flowchart. We discuss the most commonly used technologies, software, and evaluation methods and the various applications of VR in the reviewed papers. Finally, we extend the discussion by summarizing the potential future work in this area."
Khorsandroo2021,Sajad Khorsandroo and Adrián Gallego Sánchez and Ali Saman Tosun and J. M. Arco and Roberto Doriguzzi-Corin,Hybrid SDN evolution: A comprehensive survey of the state-of-the-art,Computer Networks,192,,2021,10.1016/j.comnet.2021.107981,13891286,"Software-Defined Networking (SDN) is an evolutionary networking paradigm which has been adopted by large network and cloud providers, among which are Tech Giants. However, embracing a new and futuristic paradigm as an alternative to well-established and mature legacy networking paradigm requires a lot of time along with considerable financial resources and technical expertise. Consequently, many enterprises cannot afford it. A compromise solution then is a hybrid networking environment (a.k.a. Hybrid SDN (hSDN)) in which SDN functionalities are leveraged while existing traditional network infrastructures are acknowledged. Recently, hSDN has been seen as a viable networking solution for a diverse range of businesses and organizations. Accordingly, the body of literature on hSDN research has improved remarkably. On this account, we present this paper as a comprehensive state-of-the-art survey which expands upon hSDN from many different perspectives."
Ansari2020,Md Tarique Jamal Ansari and Fahad Ahmed Al-Zahrani and Dhirendra Pandey and Alka Agrawal,A fuzzy TOPSIS based analysis toward selection of effective security requirements engineering approach for trustworthy healthcare software development,BMC Medical Informatics and Decision Making,20,1,2020,10.1186/s12911-020-01209-8,14726947,"Background: Today's healthcare organizations want to implement secure and quality healthcare software as cyber-security is a significant risk factor for healthcare data. Considering security requirements during trustworthy healthcare software development process is an essential part of the quality software development. There are several Security Requirements Engineering (SRE) methodologies, framework, process, standards available today. Unfortunately, there is still a necessity to improve these security requirements engineering approaches. Determining the most suitable security requirements engineering method for trustworthy healthcare software development is a challenging process. This study is aimed to present security experts' perspective on the relative importance of the criteria for selecting effective SRE method by utilizing the multi-criteria decision making methods. Methods: The study was planned and conducted to identify the most appropriate SRE approach for quality and trustworthy software development based on the security expert's knowledge and experience. The hierarchical model was evaluated by using fuzzy TOPSIS model. Effective SRE selection criteria were compared in pairs. 25 security experts were asked to response the pairwise criteria comparison form. Results: The impact of the recognized selection criteria for effective security requirements engineering approaches has been evaluated quantitatively. For each of the 25 participants, comparison matrixes were formed based on the scores of their responses in the form. The consistency ratios (CR) were found to be smaller than 10% (CR = 9.1% < 10%). According to pairwise comparisons result; with a 0.842 closeness coefficient (Ci), STORE methodology is the most effective security requirements engineering approach for trustworthy healthcare software development. Conclusions: The findings of this research study demonstrate various factors in the decision-making process for the selection of a reliable method for security requirements engineering. This is a significant study that uses multi-criteria decision-making tools, specifically fuzzy TOPSIS, which used to evaluate different SRE methods for secure and trustworthy healthcare application development."
VanVinh2022,Pham Van Vinh and Le Quang Huy,Finite element analysis of functionally graded sandwich plates with porosity via a new hyperbolic shear deformation theory,Defence Technology,18,3,2022,10.1016/j.dt.2021.03.006,22149147,"This study focusses on establishing the finite element model based on a new hyperbolic sheareformation theory to investigate the static bending, free vibration, and buckling of the functionally graded sandwich plates with porosity. The novel sandwich plate consists of one homogenous ceramic core and two different functionally graded face sheets which can be widely applied in many fields of engineering and defence technology. The discrete governing equations of motion are carried out via Hamilton's principle and finite element method. The computation program is coded in MATLAB software and used to study the mechanical behavior of the functionally graded sandwich plate with porosity. The present finite element algorithm can be employed to study the plates with arbitrary shape and boundary conditions. The obtained results are compared with available results in the literature to confirm the reliability of the present algorithm. Also, a comprehensive investigation of the effects of several parameters on the bending, free vibration, and buckling response of functionally graded sandwich plates is presented. The numerical results shows that the distribution of porosity plays significant role on the mechanical behavior of the functionally graded sandwich plates."
Berger2020,Thorsten Berger and Jan Philipp Steghöfer and Tewfik Ziadi and Jacques Robin and Jabier Martinez,The state of adoption and the challenges of systematic variability management in industry,Empirical Software Engineering,25,3,2020,10.1007/s10664-019-09787-6,15737616,"Handling large-scale software variability is still a challenge for many organizations. After decades of research on variability management concepts, many industrial organizations have introduced techniques known from research, but still lament that pure textbook approaches are not applicable or efficient. For instance, software product line engineering—an approach to systematically develop portfolios of products—is difficult to adopt given the high upfront investments; and even when adopted, organizations are challenged by evolving their complex product lines. Consequently, the research community now mainly focuses on re-engineering and evolution techniques for product lines; yet, understanding the current state of adoption and the industrial challenges for organizations is necessary to conceive effective techniques. In this multiple-case study, we analyze the current adoption of variability management techniques in twelve medium- to large-scale industrial cases in domains such as automotive, aerospace or railway systems. We identify the current state of variability management, emphasizing the techniques and concepts they adopted. We elicit the needs and challenges expressed for these cases, triangulated with results from a literature review. We believe our results help to understand the current state of adoption and shed light on gaps to address in industrial practice."
Wohlin2022,Claes Wohlin and Marcos Kalinowski and Katia Romero Felizardo and Emilia Mendes,Successful combination of database search and snowballing for identification of primary studies in systematic literature studies,Information and Software Technology,147,,2022,10.1016/j.infsof.2022.106908,09505849,"Background: A good search strategy is essential for a successful systematic literature study. Historically, database searches have been the norm, which was later complemented with snowball searches. Our conjecture is that we can perform even better searches if combining these two search approaches, referred to as a hybrid search strategy. Objective: Our main objective was to compare and evaluate a hybrid search strategy. Furthermore, we compared four alternative hybrid search strategies to assess whether we could identify more cost-efficient ways of searching for relevant primary studies. Methods: To compare and evaluate the hybrid search strategy, we replicated the search procedure in a systematic literature review (SLR) on industry–academia collaboration in software engineering. The SLR used a more “traditional” approach to searching for relevant articles for an SLR, while our replication was executed using a hybrid search strategy. Results: In our evaluation, the hybrid search strategy was superior in identifying relevant primary studies. It identified 30% more primary studies and even more studies when focusing only on peer-reviewed articles. To embrace individual viewpoints when assessing research articles and minimise the risk of missing primary studies, we introduced two new concepts, wild cards and borderline articles, when performing systematic literature studies. Conclusions: The hybrid search strategy is a strong contender for being used when performing systematic literature studies. Furthermore, alternative hybrid search strategies may be viable if selected wisely in relation to the start set for snowballing. Finally, the two new concepts were judged as essential to cater for different individual judgements and to minimise the risk of excluding primary studies that ought to be included."
Rahman2021,Md Mostafizer Rahman and Yutaka Watanobe and Keita Nakamura,A bidirectional lstm language model for code evaluation and repair,Symmetry,13,2,2021,10.3390/sym13020247,20738994,"Programming is a vital skill in computer science and engineering-related disciplines. However, developing source code is an error-prone task. Logical errors in code are particularly hard to identify for both students and professionals, and a single error is unexpected to end-users. At present, conventional compilers have difficulty identifying many of the errors (especially logical errors) that can occur in code. To mitigate this problem, we propose a language model for evaluating source codes using a bidirectional long short-term memory (BiLSTM) neural network. We trained the BiLSTM model with a large number of source codes with tuning various hyperparameters. We then used the model to evaluate incorrect code and assessed the model’s performance in three prin-cipal areas: source code error detection, suggestions for incorrect code repair, and erroneous code classification. Experimental results showed that the proposed BiLSTM model achieved 50.88% cor-rectness in identifying errors and providing suggestions. Moreover, the model achieved an F-score of approximately 97%, outperforming other state-of-the-art models (recurrent neural networks (RNNs) and long short-term memory (LSTM))."
Campos2020,Neila Campos and Maria Nogal and Cristina Caliz and Angel A. Juan,Simulation-based education involving online and on-campus models in different European universities,International Journal of Educational Technology in Higher Education,17,1,2020,10.1186/s41239-020-0181-y,23659440,"Simulation-based education (SE) refers to the use of simulation software, tools, and serious games to enrich the teaching and learning processes. Advances in both computer hardware and software allow for employing innovative methodologies that make use of SE tools to enhance the learning experience. Moreover, thanks to the globalisation of e-learning practices, these educational experiences can be made available to students from different geographical regions and universities, which promotes the development of international and inter-university cooperation in education. This paper provides a review of recent works in the SE subject, with a focus on the areas of engineering, science, and management. It also discusses some experiences in SE involving different European universities and learning models. Finally, it also points out open challenges as well as noticeable trends."
Gupta2020,Deepak Gupta and Joel J.P.C. Rodrigues and Shirsh Sundaram and Ashish Khanna and Valery Korotaev and Victor Hugo C. de Albuquerque,Usability feature extraction using modified crow search algorithm: a novel approach,Neural Computing and Applications,32,15,2020,10.1007/s00521-018-3688-6,14333058,"For the purpose of usability feature extraction and prediction, an innovative metaheuristic algorithm is introduced. Generally, the term “usability” is defined by the several researchers with respect to the hierarchical-based software usability model and it has become one of the important methods in terms of software quality. In hierarchically based software, its usability factors, attributes, and its characteristics are combined. The paper presented an algorithm, i.e., modified crow search algorithm (MCSA) mainly for extraction of usability features from hierarchical model with the optimal solution under the search for useful features. MCSA is an extension of original crow search algorithm (CSA), which is a naturally inspired algorithm. The mechanism of this algorithm is based on the process of hiding food and prevents theft and hence introduced this CSA in the field of software engineering practices as an inspiration. The algorithm generates a particular number of selected features/attributes and is applied on software development life cycles models, finding out the best among them. The results of the presented algorithm are compared with the standard binary bat algorithm (BBA), original CSA, and modified whale optimization algorithm (MWOA). The outcomes conclude that the proposed MCSA performs well than the standard BBA and original CSA as the proposed algorithms generate fewer number of feature selection equal to 17 than 18 in BBA, 23 in CSA, and 19 in MWOA."
Haq2020,Fazal Haq and Seifedine Kadry and Yu Ming Chu and Mair Khan and M. Ijaz Khan,Modeling and theoretical analysis of gyrotactic microorganisms in radiated nanomaterial Williamson fluid with activation energy,Journal of Materials Research and Technology,9,5,2020,10.1016/j.jmrt.2020.07.025,22387854,"Here flow behavior of stratified Williamson nanofluid over porous surface of stretching cylinder is examined. The concept of gyrotactic miscroorganisms is implemented to control the random movement of suspended nanoparticles. Effects of magnetic field is accounted. Further chemical reaction with Arrhenius activation energy is considered for the modeling of concentration equation. Brownian motion and thermophoresis effects are further considered. The flow model is obtained by employing the boundary layer assumptions. Appropriate transformations are used to reduced the dimensional system into non-dimensional ones. NDSolve code in MATHEMATICA software is used to tackle the obtained non-dimensional flow expressions. Behavior of velocity, mass concentration, temperature and motile microorganisms versus involved variables is examined graphically. The engineering curiosity like skin friction coefficient, heat and mass transfer rates (Nusselt and Sherwood numbers) and density number are computed and analyzed. Important observations are highlighted at the end."
Chakraborty2020,Joymallya Chakraborty and Suvodeep Majumder and Zhe Yu and Tim Menzies,Fairway: A way to build fair ML software,,,,2020,10.1145/3368089.3409697,,"Machine learning software is increasingly being used to make decisions that affect people's lives. But sometimes, the core part of this software (the learned model), behaves in a biased manner that gives undue advantages to a specific group of people (where those groups are determined by sex, race, etc.). This ""algorithmic discrimination""in the AI software systems has become a matter of serious concern in the machine learning and software engineering community. There have been works done to find ""algorithmic bias""or ""ethical bias""in the software system. Once the bias is detected in the AI software system, the mitigation of bias is extremely important. In this work, we a)explain how ground-truth bias in training data affects machine learning model fairness and how to find that bias in AI software,b)propose a method Fairway which combines pre-processing and in-processing approach to remove ethical bias from training data and trained model. Our results show that we can find bias and mitigate bias in a learned model, without much damaging the predictive performance of that model. We propose that (1) testing for bias and (2) bias mitigation should be a routine part of the machine learning software development life cycle. Fairway offers much support for these two purposes."
Jger2021,Sebastian Jäger and Arndt Allhorn and Felix Bießmann,A Benchmark for Data Imputation Methods,Frontiers in Big Data,4,,2021,10.3389/fdata.2021.693674,2624909X,"With the increasing importance and complexity of data pipelines, data quality became one of the key challenges in modern software applications. The importance of data quality has been recognized beyond the field of data engineering and database management systems (DBMSs). Also, for machine learning (ML) applications, high data quality standards are crucial to ensure robust predictive performance and responsible usage of automated decision making. One of the most frequent data quality problems is missing values. Incomplete datasets can break data pipelines and can have a devastating impact on downstream ML applications when not detected. While statisticians and, more recently, ML researchers have introduced a variety of approaches to impute missing values, comprehensive benchmarks comparing classical and modern imputation approaches under fair and realistic conditions are underrepresented. Here, we aim to fill this gap. We conduct a comprehensive suite of experiments on a large number of datasets with heterogeneous data and realistic missingness conditions, comparing both novel deep learning approaches and classical ML imputation methods when either only test or train and test data are affected by missing data. Each imputation method is evaluated regarding the imputation quality and the impact imputation has on a downstream ML task. Our results provide valuable insights into the performance of a variety of imputation methods under realistic conditions. We hope that our results help researchers and engineers to guide their data preprocessing method selection for automated data quality improvement."
Zhang2022,Wengang Zhang and Liang Han and Xin Gu and Lin Wang and Fuyong Chen and Hanlong Liu,Tunneling and deep excavations in spatially variable soil and rock masses: A short review,Underground Space (China),7,3,2022,10.1016/j.undsp.2020.03.003,24679674,"In an urbanization process, infrastructure elements such as tunnels and deep excavations are widely used to service the development of cities. Owing to the lengthy geological processes of geomaterials and the limited availability of site-specific test data, soil and rock properties exhibiting spatial variability are frequently encountered in geological and geotechnical engineering. This paper presents a comprehensive review of the application of spatial variability in tunneling and deep excavation over the past 20 years. It is found that the spatial variability is generally modeled as a random field (RF) in finite element software, based on random field theory (RFT). This model has been widely used in the design, stability evaluation, and probabilistic analysis of tunnels and excavations. Previous works have proven that the performance of tunnels and deep excavations can be better captured by considering the spatial variability, as compared with conventional deterministic analysis methods. Nonetheless, current research still faces many factual scientific problems. Therefore, this paper also identifies some research gaps, as well as recommendations for further investigations."
Poutievski2022,Leon Poutievski and Omid Mashayekhi and Joon Ong and Arjun Singh and Mukarram Tariq and Rui Wang and Jianan Zhang and Virginia Beauregard and Patrick Conner and Steve Gribble and Rishi Kapoor and Stephen Kratzer and Nanfang Li and Hong Liu and Karthik Nagaraj and Jason Ornstein and Samir Sawhney and Ryohei Urata and Lorenzo Vicisano and Kevin Yasumura and Shidong Zhang and Junlan Zhou and Amin Vahdat,Jupiter evolving: Transforming googles datacenter network via optical circuit switches and software-defined networking,,,,2022,10.1145/3544216.3544265,,"We present a decade of evolution and production experience with Jupiter datacenter network fabrics. In this period Jupiter has delivered 5x higher speed and capacity, 30% reduction in capex, 41% reduction in power, incremental deployment and technology refresh all while serving live production traffic. A key enabler for these improvements is evolving Jupiter from a Clos to a direct-connect topology among the machine aggregation blocks. Critical architectural changes for this include: A datacenter interconnection layer employing Micro-Electro-Mechanical Systems (MEMS) based Optical Circuit Switches (OCSes) to enable dynamic topology reconfiguration, centralized Software-Defined Networking (SDN) control for traffic engineering, and automated network operations for incremental capacity delivery and topology engineering. We show that the combination of traffic and topology engineering on direct-connect fabrics achieves similar throughput as Clos fabrics for our production traffic patterns. We also optimize for path lengths: 60% of the traffic takes direct path from source to destination aggregation blocks, while the remaining transits one additional block, achieving an average block-level path length of 1.4 in our fleet today. OCS also achieves 3x faster fabric reconfiguration compared to pre-evolution Clos fabrics that used a patch panel based interconnect."
Ford2022,Denae Ford and Margaret Anne Storey and Thomas Zimmermann and Christian Bird and Sonia Jaffe and Chandra Maddila and Jenna L. Butler and Brian Houck and Nachiappan Nagappan,A Tale of Two Cities: Software Developers Working from Home during the COVID-19 Pandemic,ACM Transactions on Software Engineering and Methodology,31,2,2022,10.1145/3487567,15577392,"The COVID-19 pandemic has shaken the world to its core and has provoked an overnight exodus of developers who normally worked in an office setting to working from home. The magnitude of this shift and the factors that have accompanied this new unplanned work setting go beyond what the software engineering community has previously understood to be remote work. To find out how developers and their productivity were affected, we distributed two surveys (with a combined total of 3,634 responses that answered all required questions) weeks apart to understand the presence and prevalence of the benefits, challenges, and opportunities to improve this special circumstance of remote work. From our thematic qualitative analysis and statistical quantitative analysis, we find that there is a dichotomy of developer experiences influenced by many different factors (that for some are a benefit, while for others a challenge). For example, a benefit for some was being close to family members but for others having family members share their working space and interrupting their focus, was a challenge. Our surveys led to powerful narratives from respondents and revealed the scale at which these experiences exist to provide insights as to how the future of (pandemic) remote work can evolve."
Canedo2020,Edna Dias Canedo and Bruno Cordeiro Mendes,Software requirements classification using machine learning algorithms,Entropy,22,9,2020,10.3390/E22091057,10994300,"The correct classification of requirements has become an essential task within software engineering. This study shows a comparison among the text feature extraction techniques, and machine learning algorithms to the problem of requirements engineer classification to answer the two major questions ""Which works best (Bag ofWords (BoW) vs. Term Frequency-Inverse Document Frequency (TF-IDF) vs. Chi Squared (CHI2) for classifying Software Requirements into Functional Requirements (FR) and Non-Functional Requirements (NF), and the sub-classes of Non-Functional Requirements?"" and ""Which Machine Learning Algorithm provides the best performance for the requirements classification task?"". The data used to perform the research was the PROMISE_exp, a recently made dataset that expands the already known PROMISE repository, a repository that contains labeled software requirements. All the documents from the database were cleaned with a set of normalization steps and the two feature extractions, and feature selection techniques used were BoW, TF-IDF and CHI2 respectively. The algorithms used for classification were Logist Regression (LR), Support Vector Machine (SVM), Multinomial Naive Bayes (MNB) and k-Nearest Neighbors (kNN). The novelty of our work is the data used to perform the experiment, the details of the steps used to reproduce the classification, and the comparison between BoW, TF-IDF and CHI2 for this repository not having been covered by other studies. This work will serve as a reference for the software engineering community and will help other researchers to understand the requirement classification process. We noticed that the use of TF-IDF followed by the use of LR had a better classification result to differentiate requirements, with an F-measure of 0.91 in binary classification (tying with SVM in that case), 0.74 in NF classification and 0.78 in general classification. As future work we intend to compare more algorithms and new forms to improve the precision of our models."
